Name,CBO,NOC,WMC,RFC,NPRM,NPROM,NPM,LOC,DIT,LCOM,Changes
org.apache.tapestry5.corelib.base.AbstractLink,14,3,8,20,1,2,3,74,0,75,No
org.apache.tapestry5.corelib.base.AbstractLinkTest,7,0,2,349,0,0,2,42,6,0,No
org.apache.tapestry5.corelib.base.AbstractPropertyOutput,17,3,7,19,0,2,0,96,0,73,No
org.apache.tapestry5.corelib.base.AbstractPropertyOutputTest,9,0,1,348,0,0,1,33,6,0,No
org.apache.tapestry5.corelib.base.AbstractTextField,26,3,9,39,0,4,1,92,1,84,No
org.apache.tapestry5.corelib.base.BaseClientElement,8,1,2,14,0,1,1,29,0,25,No
org.apache.tapestry5.corelib.components.ActionLink,4,0,1,24,0,1,0,8,2,0,No
org.apache.tapestry5.corelib.components.AddRowLink,3,0,2,14,0,0,0,14,0,50,No
org.apache.tapestry5.corelib.components.AjaxFormLoop,39,0,16,28,7,0,0,249,0,93,Yes
org.apache.tapestry5.corelib.components.AjaxFormLoop.SyncValue,3,0,3,15,0,0,3,16,0,0,No
org.apache.tapestry5.corelib.components.Alerts,19,0,4,18,0,0,0,60,1,75,No
org.apache.tapestry5.corelib.components.Any,10,0,5,17,0,0,1,47,0,53,No
org.apache.tapestry5.corelib.components.AnyTest,9,0,3,289,0,0,3,62,5,0,No
org.apache.tapestry5.corelib.components.BeanDisplay,9,0,3,15,0,0,3,44,0,69,No
org.apache.tapestry5.corelib.components.BeanEditForm,15,0,7,19,0,0,6,68,0,84,No
org.apache.tapestry5.corelib.components.BeanEditor,25,0,6,18,0,0,1,108,0,76,No
org.apache.tapestry5.corelib.components.BeanEditor.CleanupEnvironment,3,0,2,14,0,0,2,12,0,100,No
org.apache.tapestry5.corelib.components.BeanEditor.Prepare,3,0,2,14,0,0,2,13,0,100,No
org.apache.tapestry5.corelib.components.BeanEditorTest,16,0,6,292,1,0,5,164,5,0,No
org.apache.tapestry5.corelib.components.Checkbox,13,0,3,33,0,1,0,32,1,66,No
org.apache.tapestry5.corelib.components.Checklist,22,0,7,37,0,1,1,114,1,81,No
org.apache.tapestry5.corelib.components.Checklist.RenderCheckbox,8,0,2,14,1,0,1,24,0,0,No
org.apache.tapestry5.corelib.components.DateField,31,0,12,42,2,1,1,174,1,86,No
org.apache.tapestry5.corelib.components.Delegate,6,0,1,13,0,0,0,15,0,0,No
org.apache.tapestry5.corelib.components.DevTool,15,0,8,20,0,0,3,82,0,80,No
org.apache.tapestry5.corelib.components.Doctype,5,0,1,13,0,0,0,12,0,0,No
org.apache.tapestry5.corelib.components.Dynamic,7,0,1,13,0,0,0,27,0,33,No
org.apache.tapestry5.corelib.components.Error,9,0,2,14,1,0,0,20,0,50,No
org.apache.tapestry5.corelib.components.Errors,10,0,1,13,0,0,0,52,0,0,No
org.apache.tapestry5.corelib.components.EventLink,7,0,2,25,0,1,0,15,2,50,No
org.apache.tapestry5.corelib.components.ExceptionDisplay,12,0,7,19,1,0,5,67,0,82,No
org.apache.tapestry5.corelib.components.Form,58,0,24,36,4,3,8,390,0,90,No
org.apache.tapestry5.corelib.components.FormFragment,18,0,4,16,0,0,1,88,0,70,No
org.apache.tapestry5.corelib.components.FormTest,4,0,2,288,0,0,2,28,5,0,No
org.apache.tapestry5.corelib.components.Glyphicon,6,0,1,13,0,0,0,15,0,0,No
org.apache.tapestry5.corelib.components.Grid,40,0,24,36,3,1,13,323,0,94,Yes
org.apache.tapestry5.corelib.components.Grid.CachingDataSource,2,0,5,17,0,0,4,30,0,53,No
org.apache.tapestry5.corelib.components.Grid.DefaultGridSortModel,10,0,5,17,1,0,4,42,0,0,No
org.apache.tapestry5.corelib.components.GridCell,2,0,1,20,0,0,0,7,1,0,No
org.apache.tapestry5.corelib.components.GridColumns,20,0,10,22,1,0,6,97,0,84,No
org.apache.tapestry5.corelib.components.GridPager,16,0,3,15,1,0,0,99,0,46,No
org.apache.tapestry5.corelib.components.GridRows,18,0,10,22,0,0,3,165,0,80,No
org.apache.tapestry5.corelib.components.GridRows.SetupForRowByIndex,3,0,3,15,0,0,3,18,0,50,No
org.apache.tapestry5.corelib.components.GridRows.SetupForRowWithClientValue,3,0,3,15,0,0,2,16,0,0,No
org.apache.tapestry5.corelib.components.Hidden,17,0,5,17,1,0,2,74,0,65,No
org.apache.tapestry5.corelib.components.Hidden.ProcessSubmission,2,0,2,14,0,0,2,11,0,0,No
org.apache.tapestry5.corelib.components.HiddenTest,3,0,1,348,0,0,1,17,6,0,No
org.apache.tapestry5.corelib.components.If,1,0,1,17,0,1,0,11,1,0,No
org.apache.tapestry5.corelib.components.LinkSubmit,20,0,4,16,1,0,1,82,0,72,No
org.apache.tapestry5.corelib.components.LinkSubmit.ProcessSubmission,2,0,2,14,0,0,2,12,0,0,No
org.apache.tapestry5.corelib.components.LocalDate,11,0,1,13,0,0,0,26,0,0,No
org.apache.tapestry5.corelib.components.Loop,26,0,20,32,9,0,2,278,0,88,No
org.apache.tapestry5.corelib.components.Loop.RestoreState,3,0,3,15,0,0,3,18,0,50,No
org.apache.tapestry5.corelib.components.Loop.RestoreStateFromStoredClientValue,3,0,3,15,0,0,3,16,0,0,No
org.apache.tapestry5.corelib.components.LoopTest,5,0,3,350,0,0,3,46,6,0,No
org.apache.tapestry5.corelib.components.Output,6,0,2,14,0,0,0,38,0,0,No
org.apache.tapestry5.corelib.components.OutputRaw,5,0,2,14,0,0,0,16,0,50,No
org.apache.tapestry5.corelib.components.OutputRawTest,3,0,3,289,0,0,3,34,5,0,No
org.apache.tapestry5.corelib.components.OutputTest,9,0,7,293,0,0,7,111,5,42,No
org.apache.tapestry5.corelib.components.PageLink,10,0,2,22,0,0,0,32,1,50,No
org.apache.tapestry5.corelib.components.Palette,29,0,10,40,0,1,3,114,1,93,No
org.apache.tapestry5.corelib.components.PasswordField,3,0,3,42,0,2,0,23,2,0,No
org.apache.tapestry5.corelib.components.ProgressiveDisplay,17,0,6,18,0,0,1,49,0,78,No
org.apache.tapestry5.corelib.components.PropertyDisplay,2,0,1,20,0,0,0,7,1,0,No
org.apache.tapestry5.corelib.components.PropertyEditor,27,0,8,20,0,0,0,174,0,82,No
org.apache.tapestry5.corelib.components.PropertyEditor.CleanupEnvironment,3,0,2,14,0,0,2,12,0,100,No
